,male,caseid,ResponseId,treatment,low_caste,college,hindu,muslim,vote_intention,whatsapp,days_whatsapp,bjp_support,bjp_oppose,agegroup,nationalistic,uncongenial,political_knowledge,accuracy1,accuracy2,accuracy3,accuracy4,accuracy5,accuracy6,accuracy7,accuracy8,accuracy9,accuracy10
14,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
15,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
16,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
17,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
18,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
19,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
20,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
21,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
22,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
23,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
24,0.0,16778_afxwaykjgqhywtfm_82,R_3e2j97hQ6XoVtZo,0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0
25,0.0,16778_afxwaykjgqhywtfm_82,R_3e2j97hQ6XoVtZo,0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0
26,0.0,16778_afxwaykjgqhywtfm_82,R_3e2j97hQ6XoVtZo,0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0
27,0.0,16778_afxwaykjgqhywtfm_82,R_3e2j97hQ6XoVtZo,0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0
28,0.0,16778_afxwaykjgqhywtfm_82,R_3e2j97hQ6XoVtZo,0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0
29,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
30,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
31,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
32,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
33,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
34,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
35,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
36,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
37,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
38,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
39,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
40,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
41,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
42,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
43,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
44,1.0,16778_ageruvqgyngrueim_82,R_1fl1pyrMU5xFAhr,0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
45,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,1.0,16778_agnxmjucungutlif_82,R_3rJofEJDxFb0BOi,1,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
54,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
55,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
56,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
57,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
58,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
59,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
60,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
61,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
62,0.0,16778_agujhmfegrybjcbm_82,R_2QhshO8WcINgguH,1,0.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
63,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
64,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
65,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
66,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
67,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
68,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
69,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
70,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
71,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
72,1.0,16778_agutxvslawgxwvex_83,R_Oa6W2eytenDlI3f,1,0.0,1.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
73,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
74,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
75,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
76,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
77,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
78,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
79,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
80,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
81,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
82,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
83,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
84,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
85,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
86,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
87,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
88,1.0,16778_agyafpprxkyijnxo_82,R_2VqI2lQUsx5CyrN,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0
89,0.0,16778_aijqtkysmymovqqa_83,R_1pDzjEvfXFIr1wR,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
90,0.0,16778_aijqtkysmymovqqa_83,R_1pDzjEvfXFIr1wR,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
91,0.0,16778_aijqtkysmymovqqa_83,R_1pDzjEvfXFIr1wR,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
92,0.0,16778_aijqtkysmymovqqa_83,R_1pDzjEvfXFIr1wR,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
93,0.0,16778_aijqtkysmymovqqa_83,R_1pDzjEvfXFIr1wR,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94,0.0,16778_aijqtkysmymovqqa_83,R_1pDzjEvfXFIr1wR,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
95,0.0,16778_aijqtkysmymovqqa_83,R_1pDzjEvfXFIr1wR,0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
96,1.0,16778_aivyjhejjqmyvpbz_82,R_2qBHaSE05whVUJm,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0
97,1.0,16778_aivyjhejjqmyvpbz_82,R_2qBHaSE05whVUJm,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0
98,1.0,16778_aivyjhejjqmyvpbz_82,R_2qBHaSE05whVUJm,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0
99,1.0,16778_aivyjhejjqmyvpbz_82,R_2qBHaSE05whVUJm,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0
100,1.0,16778_aivyjhejjqmyvpbz_82,R_2qBHaSE05whVUJm,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0
